# 노부나가의 야망 (GBA) 한글패치 — 번역 대조표

자동 독음 변환 4391건 / 번역 1035건 + 시퀀스 187그룹

## 1. 자동 독음 변환 (인명·지명·성 등)
一万田	일만전
一刀斎	일도재
一存	일존
一益	일익
一色	일색
一豊	일풍
一鉄	일철
七里	칠리
三刀屋弾正釜	삼도옥탄정부
三太夫	삼태부
三好	삼호
三成	삼성
三木	삼목
三河	삼하
三浦	삼포
三淵	삼연
三雲	삼운
上井	상정
上月	상월
上杉	상삼
上村	상촌
上条	상조
上田	상전
上野	상야
下総	하총
下野	하야
下間	하간
並河	병하
中野	중야
丸目	환목
丹後	단후
丹波	단파
丹羽	단우
乃美	내미
久仲	구중
久保	구보
久兼	구겸
久政	구정
久武	구무
久秀	구수
久綱	구강
久通	구통
九十九髪茄子	구십구발가자
九鬼	구귀
井伊	정이
井戸	정호
京極	경극
仁科	인과
今川	금천
仙石	선석
以心	이심
伊丹	이단
伊予	이예
伊勢	이세
伊東	이동
伊藤	이등
伊賀	이하
伊達	이달
伊集院	이집원
佐世	좌세
佐久間	좌구간
佐伯	좌백
佐助	좌조
佐大夫	좌대부
佐竹	좌죽
依岡	의강
依田	의전
信之	신지
信光	신광
信勝	신승
信包	신포
信友	신우
信君	신군
信周	신주
信孝	신효
信常	신상
信康	신강
信廉	신렴
信忠	신충
信房	신방
信濃	신농
信玄	신현
信盛	신성
信直	신직
信綱	신강
信繁	신번
信置	신치
信胤	신윤
信茂	신무
信蕃	신번
信行	신행
信親	신친
信豊	신풍
信長	신장
信雄	신웅
偽	위
備前	비전
備前八重葎	비전팔중률
備前福耳	비전복이
傷	상
儀重	의중
元信	원신
元吉	원길
元嘉	원가
元就	원취
元康	원강
元忠	원충
元明	원명
元春	원춘
元景	원경
元氏	원씨
元澄	원징
元相	원상
元親	원친
元長	원장
光佐	광좌
光寿	광수
光忠	광충
光成	광성
光秀	광수
児玉	아옥
六角	육각
六郎	육랑
具房	구방
具政	구정
具教	구교
具盛	구성
典膳	전선
兼盛	겸성
兼続	겸속
内藤	내등
円城寺	원성사
冬康	동강
出羽	출우
出雲	출운
切	절
利三	이삼
利勝	이승
利家	이가
利長	이장
刷毛目合甫	쇄모목합보
則房	칙방
則英	칙영
前田	전전
加藤	가등
加賀	가하
助就	조취
勘助	감조
勝久	승구
勝家	승가
勝政	승정
勝正	승정
勝茂	승무
勝豊	승풍
勝頼	승뢰
北条	북조
北郷	북향
十河	십하
十蔵	십장
半兵衛	반병위
半蔵	반장
卜全	복전
原	원
原田	원전
又兵衛	우병위
友通	우통
口羽	구우
古天明梶	고천명미
古田	고전
古銅鶴一声	고동학일성
可児	가아
可成	가성
右近	우근
吉岡	길강
吉川	길천
吉弘	길홍
吉正	길정
吉田	길전
吉統	길통
吉継	길계
吉良	길량
周防	주방
和田	화전
員昌	원창
唐物三日月	당물삼일월
唐物京極茄子	당물경극가자
唐物内曇大海	당물내담대해
唐物初花肩衝	당물초화견충
唐物夕立	당물석립
唐物大友瓢箪	당물대우표단
唐物富士茄子	당물부사가자
唐物新田肩衝	당물신전견충
唐物有明肩衝	당물유명견충
唐物朝倉文琳	당물조창문림
唐物松島	당물송도
唐物松花	당물송화
唐物楢柴肩衝	당물유시견충
唐物橋姫	당물교희
唐物茜屋茄子	당물천옥가자
唐物象潟	당물상석
唐物金花	당물금화
喜入	희입
嘉明	가명
嘉隆	가륭
四天王	사천왕
因幡	인번
図書助	도서조
国司	국사
国清	국청
国綱	국강
国親	국친
国高	국고
土佐	토좌
土岐	토기
土持	토지
土橋	토교
垣屋	원옥
基信	기신
堀	굴
塩谷	염곡
多賀谷	다하곡
大	대
大久保	대구보
大井戸加賀	대정호가하
大内	대내
大助	대조
大友	대우
大和	대화
大谷	대곡
大道寺	대도사
天明残月	천명잔월
天明砕銭	천명쇄전
天野	천야
太原	태원
太田	태전
奥山	오산
奥田	오전
姉小路	자소로
存保	존보
孝信	효신
季久	계구
宇佐美	우좌미
宇喜多	우희다
宇山	우산
宇都宮	우도궁
守就	수취
守棟	수동
守綱	수강
守重	수중
守隆	수륭
安井	안정
安国寺	안국사
安宅	안택
安房	안방
安芸	안예
安藤	안등
宍戸	육호
宗信	종신
宗勝	종승
宗厳	종엄
宗昌	종창
宗時	종시
宗治	종치
宗滴	종적
宗矩	종구
宗茂	종무
宗長	종장
宗麟	종린
官兵衛	관병위
定慶	정경
定持	정지
定村	정촌
定次	정차
定満	정만
定直	정직
実元	실원
宮部	궁부
宴	연
家久	가구
家嘉	가가
家就	가취
家康	가강
家次	가차
寧	영
寵	총
小六	소륙
小助	소조
小太郎	소태랑
小山田	소산전
小島	소도
小幡	소번
小早川	소조천
小次郎	소차랑
小笠原	소립원
小西	소서
小野崎	소야기
就忠	취충
就英	취영
尼子	이자
尾張	미장
屋代	옥대
山中	산중
山内	산내
山名	산명
山城	산성
山崎	산기
山川	산천
山本	산본
山浦	산포
山田	산전
山県	산현
岡	강
岡本	강본
岡部	강부
岩上	암상
岩成	암성
島	도
島津	도진
崇伝	숭전
巌流	암류
左京	좌경
左近	좌근
市川	시천
常長	상장
常陸	상륙
常陸介	상륙개
平岡	평강
平賀	평하
幸村	행촌
幸清	행청
幸隆	행륭
幻庵	환암
広家	광가
広綱	광강
康之	강지
康勝	강승
康国	강국
康政	강정
康景	강경
康重	강중
康長	강장
延	연
引	인
弘中	홍중
弥兵衛	미병위
後藤	후등
徐	서
従通	종통
得居	득거
御子神	어자신
徳山	덕산
徳川	덕천
志賀	지하
志野振袖	지야진수
忠世	충세
忠倉	충창
忠元	충원
忠勝	충승
忠家	충가
忠恒	충항
忠房	충방
忠朗	충랑
忠棟	충동
忠次	충차
忠興	충흥
忠高	충고
恒興	항흥
惟政	유정
惟教	유교
憲政	헌정
憲盛	헌성
憲秀	헌수
憲賢	헌현
憲重	헌중
成実	성실
成持	성지
成政	성정
成松	성송
我	아
戸川	호천
房実	방실
才蔵	재장
押	압
拝郷	배향
掃部	소부
推	추
摂津	섭진
播磨	파마
支倉	지창
政勝	정승
政孝	정효
政宗	정종
政家	정가
政尭	정요
政広	정광
政康	정강
政成	정성
政景	정경
政秀	정수
政繁	정번
